,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
124Pr,1982.38,124Pr
124Rh,12035.64,124Rh
124Ru,15588.6,124Ru
124Sb,385.55,124Sb
125Ag,7498.56,125Ag
125Ba,343.575,125Ba
125Cd,4907.56,125Cd
125Ce,343.575,125Ce
125Cs,343.575,125Cs
125In,2687.56,125In
125La,343.575,125La
125Nd,343.575,125Nd
125Pd,10281.89,125Pd
125Pr,343.575,125Pr
125Rh,13529.49,125Rh
125Sb,77.59,125Sb
125Sn,879.3000000000001,125Sn
125Xe,0.565,125Xe
126Ag,7248.15,126Ag
126Ba,1315.33,126Ba
126Cd,4252.15,126Cd
126Ce,0.0,126Ce
126Cs,1313.52,126Cs
126I,73.15891,126I
126In,2761.65,126In
126La,0.0,126La
126Pd,9272.15,126Pd
126Pr,0.0,126Pr
126Rh,12680.82,126Rh
126Sb,354.9,126Sb
126Sn,361.65,126Sn
127Ag,8250.98,127Ag
127Ba,566.54,127Ba
127Cd,5363.9800000000005,127Cd
127Ce,566.54,127Ce
127Cs,11.74,127Cs
127In,3290.9800000000005,127In
127La,566.54,127La
127Pd,11387.920000000002,127Pd
127Pr,566.54,127Pr
127Rh,14935.940000000002,127Rh
127Sb,534.71,127Sb
127Sn,1091.95,127Sn
127Te,226.05,127Te
128Ag,8268.720000000001,128Ag
128Cd,5069.72,128Cd
128Ce,0.0,128Ce
128Cs,869.67,128Cs
128I,694.59137562,128I
128In,3300.08,128In
128Nd,3427.7,128Nd
128Pd,11029.72,128Pd
128Pr,3427.7,128Pr
128Sb,460.46,128Sb
128Sn,660.0799999999999,128Sn
129Ag,10298.42,129Ag
129Ba,108.13256,129Ba
129Cd,7191.42,129Cd
129Ce,2107.62256,129Ce
129Cs,0.00256,129Cs
129I,40.03,129I
129In,4887.42,129In
129La,718.53256,129La
129Nd,2107.62256,129Nd
129Pd,13732.229999999998,129Pd
129Pm,2107.62256,129Pm
129Pr,2107.62256,129Pr
129Sb,842.23,129Sb
129Sn,2087.6800000000003,129Sn
129Te,564.05,129Te
12B,6388.94,12B
12Be,11975.96,12Be
12N,7799.07,12N
130Ag,10660.61,130Ag
130Cd,6360.610000000001,130Cd
130Ce,1125.24,130Ce
130Cs,375.61672,130Cs
130Eu,0.0,130Eu
130I,268.64,130I
130In,3990.61,130In
130La,1104.88,130La
130Nd,1125.24,130Nd
130Pm,1125.24,130Pm
130Pr,1125.24,130Pr
130Sb,656.4,130Sb
130Sn,1065.97,130Sn
131Ag,14017.52,131Ag
131Ba,0.0,131Ba
131Cd,9895.52,131Cd
131Ce,167.45,131Ce
131Eu,257.6915,131Eu
131I,181.85,131I
131In,6377.52,131In
131La,167.45,131La
131Nd,2342.65,131Nd
131Pm,2342.65,131Pm
131Pr,167.45,131Pr
131Sb,1519.52,131Sb
131Sm,2342.65,131Sm
131Sn,3077.52,131Sn
131Te,871.82,131Te
132Ag,10945.19,132Ag
132Cd,7510.45,132Cd
132Ce,543.54,132Ce
132Cs,0.8942816999999998,132Cs
132I,485.65,132I
132In,4105.45,132In
132La,543.54,132La
132Nd,1023.83,132Nd
132Pm,2904.74,132Pm
132Pr,543.54,132Pr
132Sn,674.16,132Sn
132Te,545.4499999999999,132Te
133Cd,8860.05,133Cd
133Ce,351.38,133Ce
133I,505.21,133I
133In,8860.05,133In
133La,33.17,133La
133Nd,1892.31,133Nd
133Pm,1892.31,133Pm
133Pr,351.38,133Pr
133Sb,1694.05,133Sb
133Sm,1892.31,133Sm
133Sn,5094.05,133Sn
133Te,1184.5,133Te
133Xe,100.16,133Xe
134Cd,13747.71,134Cd
134Cs,150.71954784,134Cs
134I,626.35,134I
134In,10117.71,134In
134La,774.07,134La
134Nd,1122.72,134Nd
134Pm,4489.84,134Pm
134Pr,974.68,134Pr
134Sb,3595.87,134Sb
134Sm,6462.42,134Sm
134Sn,6125.71,134Sn
134Te,814.95,134Te
135Ce,1.2163,135Ce
135Cs,75.7,135Cs
135Eu,908.1363,135Eu
135Gd,908.1363,135Gd
135I,716.5699999999999,135I
135In,13484.34,135In
135La,0.0063,135La
135Nd,908.1363,135Nd
135Pm,908.1363,135Pm
135Pr,1.2163,135Pr
135Sb,5871.93,135Sb
135Sm,908.1363,135Sm
135Sn,9425.34,135Sn
135Tb,0.0,135Tb
135Te,3124.82,135Te
135Xe,380.42,135Xe
136Cs,105.47,136Cs
136Eu,2889.8700000000003,136Eu
136I,1961.97,136I
136In,13195.02,136In
136La,289.87,136La
136Nd,783.3599999999999,136Nd
136Pm,2889.87,136Pm
136Pr,764.31,136Pr
136Sb,6198.02,136Sb
136Sm,2889.8700000000003,136Sm
136Sn,8812.02,136Sn
136Te,3246.07,136Te
137Ce,0.00814,137Ce
137Cs,187.1,137Cs
137I,3824.0,137I
137In,15974.0,137In
137Nd,504.13814,137Nd
137Pm,1511.9581400000002,137Pm
137Pr,188.15814,137Pr
137Sb,8570.0,137Sb
137Sm,1511.9581400000002,137Sm
137Sn,11540.0,137Sn
137Te,5997.0,137Te
137Xe,1890.0,137Xe
138Cs,1225.0,138Cs
